id,label,desc,id_no_prefix
997,KB Used,boolean attribute that shows whether a knowledge base document was used to resolve the incident.,KBUsed
998,Priority Verified,boolean attribute that shows whether the priority field has been double-checked.,PriorityVerified
999,Notifications,categorical attribute that shows whether notifications were generated for the incident.,Notifications
1000,Problem ID,identifier of the problem associated with the incident.,ProblemID
1001,Change Request,(request for change) identifier of the change request associated with the incident.,ChangeRequest
1002,Vendor ID,identifier of the vendor in charge of the incident.,VendorID
1003,RFC Responsible,identifier of the RFC responsible by the incident.,RFCResponsible
1004,Resolution ID,identifier of the resolution of the incident.,ResolutionID
1005,Resolved By,identifier of the user who resolved the incident.,ResolvedBy
1006,Resolved Date,incident user resolution date and time (dependent variable).,ResolvedDate
1007,Closed Date,incident user close date and time (dependent variable).,ClosedDate
1008,Company Resource,DBpedia resource of the company,CompanyResource
1009,Company Type,Public or Private Company,CompanyType
1010,Founded,Date or Year of foundation,Founded
1011,Location,Location of the company,Location4
1012,Products/Services,Products and services provided by the company,Products/Services
1013,Industry,Sector or Industry the company works in,Industry1
1014,Employees,Number of employees in the company,Employees
1015,Assets,Asset holdings of the company,Assets
1016,Equity,Equity of the company,Equity
1017,Revenue,Revenue of the company,Revenue
1018,Profit,Profit of the company,Profit
1019,Resource Link,DBpedia resource lin,ResourceLink
1020,Registered Name,Registered Name,RegisteredName
1021,Company Type,Public or Private,CompanyType1
1022,Founded Date,Year or Month of Foundation,FoundedDate
1023,Location,Location of the Company,Location5
1024,Products/Services,List of Products and Services,Products/Services1
1025,Industry,Industry the company works in,Industry2
1026,Employees,Number of Employees,Employees1
1027,Assets,Assets holdings,Assets1
1028,Profit,Profits made by the company,Profit1
1029,Fiscal County,"County of fiscal responsibility, which is typically the county of recipient’s residence",FiscalCounty
1030,Service Category,"Individual Medicaid chemical dependent service categories. Note: This may also include an indication of: All Medicaid Services, All Alcohol and Substance Abuse (ASA) Services, All Non-ASA Services",ServiceCategory1
1031,Unique Enrollees,Number of unique Medicaid enrollees for whom a claim was paid for a type of service received during the SFY*,UniqueEnrollees
1032,Service Units,"The number of service units (e.g. days, visits, weeks) for which Medicaid paid during a SFY*",ServiceUnits
1033,Avg Payment per Recipient,The dollar amount paid by Medicaid for services rendered divided by the number of recipients who received services during the SFY*,AvgPaymentperRecipient
1034,Avg Payment per Claim,The dollar amount paid by Medicaid for services rendered divided by the number of claims submitted during the SFY*,AvgPaymentperClaim
1035,Total Payment,The dollar amount paid by Medicaid for services rendered during the SFY * based on date of service,TotalPayment
1036,State Fiscal Year,"4-digit State Fiscal Year, which runs from April 1st through March 31st. For example, the SFY for 2017 would occur between April 1, 2016 and March 31, 2017. Beginning with SFY 2016-2017, Medicaid billing includes both Fee for Service (FFS) and Managed Care (MC). Totals for each billing source are represented in the data beginning with SFY 2017.",StateFiscalYear
1037,Service Indicators,"Summary indicators for separate chemical dependence service categories as well as indicators for All Medicaid Services, All Alcohol and Substance Abuse (ASA) and All Non-ASA Services",ServiceIndicators
1038,Unique Enrollees FFS,The number of unique Medicaid enrollees for whom a claim was paid for a type of service received during the state fiscal year,UniqueEnrolleesFFS
1039,FFS Service Units,"The number of service units (e.g. days, visits, weeks) for which Medicaid Fee-for-Service (FFS) paid during a state fiscal year",FFSServiceUnits
1040,FFS Total Payment,The dollar amount paid by Medicaid FFS for services rendered during the state fiscal year based on date of service,FFSTotalPayment
1041,State Fiscal Year FFS,"4-digit State Fiscal Year (SFY), which runs from April 1st through March 31st. For example, the SFY for 2003 would occur between April 1, 2002 and March 31, 2003.",StateFiscalYearFFS
1042,Book ID,A unique Identification number for each book.,BookID
1043,Book Title,The name under which the book was published.,BookTitle
1044,Authors,Names of the authors of the book. Multiple authors are delimited with -.,Authors
1045,Average Rating,The average rating of the book received in total.,AverageRating
1046,ISBN,"Another unique number to identify the book, the International Standard Book Number.",ISBN1
1047,EAN,"A 13-digit ISBN to identify the book, instead of the standard 11-digit ISBN.",EAN
1048,Language,"Helps understand what is the primary language of the book. For instance, eng is standard for English.",Language
1049,Pages,Number of pages the book contains.,Pages
1050,Ratings,Total number of ratings the book received.,Ratings
1051,Reviews,Total number of written text reviews the book received.,Reviews
1052,Publication Date,Date when the book was first published.,PublicationDate
1053,Publisher,The name of the publisher.,Publisher
1054,Episode Title,The title of each episode,EpisodeTitle
1055,Writer,The writer of each episode,Writer
1056,Character,The character from the show,Character
1057,Lines,Character's lines,Lines
1058,Story Writer,The story writer of each episode,StoryWriter
1059,Air Date,The Original air date of each episode,AirDate
1060,Transcript,The links to transcript of each episode,Transcript
1061,Summary,The links to story summary of each episode,Summary
1062,Song Title,The name of each song,SongTitle
1063,Song Length,The length of each song,SongLength
1064,Air Date,The original air date of each episode,AirDate1
1065,Summary,The story summary of each episode,Summary1
1066,Player,Name of the player,Player2
1067,Phase,Competition phase or a matchday,Phase
1068,Date,The date when the game was played,Date8
1069,Home Team,The host team (number in brackets represents position of that team on the table at that moment),HomeTeam
1070,Away Team,The visitor team (number in brackets represents position of that team on the table at that moment),AwayTeam
1071,Result,The result of the match,Result1
1072,Position,On which position player played,Position3
1073,Goals,The number of goals scored by the player,Goals
1074,Assists,The number of assists made by the player,Assists2
1075,Own Goals,The number of OWN goals scored by the player,OwnGoals
1076,Yellow Card,Whether the player received a yellow card or not,YellowCard
1077,2nd Yellow,Whether the player received a SECOND yellow card or not,2ndYellow
1078,Red Card,Whether the player received a DIRECT red card or not,RedCard
1079,Min In,Minute of the game when the player entered the field.,MinIn
1080,Min Out,Minute of the game when the player was substituted and replaced by another player.,MinOut
1081,Minutes Played,Minutes played in the match,MinutesPlayed
1082,Competition,Full name or abbreviation of the competition,Competition
1083,Spell Name,Name of the spell,SpellName
1084,Classes,Which classes can learn this spell,Classes
1085,Spell Level,"The level of the spell (this is separate from the player's level), 0 is a cantrip",SpellLevel
1086,Magic Type,What type of magic the spell is,MagicType
1087,Casting Time,How long it takes the character to cast this spell,CastingTime
1088,Range,How far the character can be from the target of the spell,Range
1089,Duration,How long the spell lasts,Duration3
1090,Verbal,Boolean - spell requires a verbal incantation,Verbal
1091,Somatic,Boolean - spell requires a precise hand motion,Somatic
1092,Material,Boolean - spell requires a physical object which is consumed,Material
1093,Consumed,What type of material is consumed when casting the spell,Consumed
1094,Effect,The effect casting spell creates,Effect
1095,ID,Unique identifier of news items,ID2
1096,Official Title,Title of the news item according to the official media sources,OfficialTitle
1097,Official Headline,Headline of the news item according to the official media sources,OfficialHeadline
1098,News Outlet,Original news outlet that published the news item,NewsOutlet
1099,Query Topic,Query topic used to obtain the items in the official media sources,QueryTopic
1100,Publication Date,Date and time of the news items' publication,PublicationDate1
1101,Facebook Popularity,Final value of the news items' popularity according to the social media source Facebook,FacebookPopularity
1102,Google+ Popularity,Final value of the news items' popularity according to the social media source Google+,Google+Popularity
1103,LinkedIn Popularity,Final value of the news items' popularity according to the social media source LinkedIn,LinkedInPopularity
1104,Title Sentiment,"Sentiment score of the title, Higher the score, better is the impact or +ve sentiment and vice-versa. (Target Variable 1)",TitleSentiment
1105,Headline Sentiment,"Sentiment score of the text in the news items' headline. Higher the score, better is the impact or +ve sentiment. (Target Variable 2)",HeadlineSentiment
1106,Date,Date of observation of the row's data in YYYY-MM-DD format,Date9
1107,Country,Country in which the the row's data was observed,Country5
1108,Cumulative Cases,"Cumulative number of confirmed cases as of the row's date, for the row's country",CumulativeCases
1109,Daily Cases,"Daily new number of confirmed cases on the row's date, for the row's country",DailyCases
1110,Active Cases,"Number of active cases (i.e., confirmed cases that still didn't recover nor die) on the row's date, for the row's country",ActiveCases
1111,Cumulative Deaths,"Cumulative number of confirmed deaths as of the row's date, for the row's country",CumulativeDeaths
1112,Daily Deaths,"Daily new number of confirmed deaths on the row's date, for the row's country",DailyDeaths
1113,Continent,Continent of the observed country,Continent1
1114,Total Cases,Total number of confirmed cases in the observed country,TotalCases
1115,Total Deaths,Total number of confirmed deaths in the observed country,TotalDeaths
1116,Total Recoveries,Total number of confirmed recoveries in the observed country,TotalRecoveries
1117,Active Cases,Number of active cases in the observed country,ActiveCases1
1118,Serious Cases,Estimated number of cases in serious or critical conditions in the observed country,SeriousCases
1119,Cases per M,Number of total cases per 1 million population in the observed country,CasesperM
1120,Deaths per M,Number of total deaths per 1 million population in the observed country,DeathsperM
1121,Total Tests,Number of total tests done in the observed country,TotalTests
1122,Tests per M,Number of total test done per 1 million population in the observed country,TestsperM
1123,Population,Population count in the observed country,Population1
1124,Title Code,Civil Service Title Code,TitleCode
1125,Title,Name/Description of title,Title3
1126,Suffix,Suffix (number) for sub-level of title,Suffix
1127,Sub-Level Desc,Description of sub-level of title,Sub-LevelDesc
1128,Weekly Hours,Standard weekly hours for the title,WeeklyHours
1129,Assignment Level,Assignment level within title,AssignmentLevel
1130,Job Code,Unique job code for entry,JobCode
1131,Union Code,"Unique code for union representing title, if applicable",UnionCode
1132,Union Name,"Name/Description of union representing title, if applicable",UnionName
1133,Bargaining Unit,"Acronym or short name for union designated as the bargaining unit for title, if applicable",BargainingUnit
1134,Min Salary,"Name/description of union designated as the bargaining unit for title, if applicable",MinSalary
1135,Max Salary,Minimum salary range for the title,MaxSalary
1136,Union Desc,Maximum salary range for the title,UnionDesc
1137,Id,Row Id,Id
1138,Product Id,Unique identifier for the product,ProductId
1139,User Id,Unqiue identifier for the user,UserId
1140,Profile,Profile name of the user,Profile
1141,Helpful,Number of users who found the review helpful,Helpful
1142,Votes,Number of users who indicated whether they found the review helpful or not,Votes2
1143,Rating,Rating between 1 and 5,Rating2
1144,Timestamp,Timestamp for the review,Timestamp
1145,Summary,Brief summary of the review,Summary2
1146,Review,Text of the review,Review
1147,Apples,Apples composted per bone meal,Apples
1148,Cacti,Cacti composted per bone meal,Cacti
1149,Carrots,Carrots composted per bone meal,Carrots
1150,Cookies,Cookies composted per bone meal,Cookies
1151,Melons,Melons composted per bone meal,Melons
1152,Melon Seeds,Melon seeds composted per bone meal,MelonSeeds
1153,Oak Leaves,Oak leaves composted per bone meal,OakLeaves
1154,Oak Saplings,Oak saplings composted per bone meal,OakSaplings
1155,Potatoes,Potatoes composted per bone meal,Potatoes
1156,Pumpkins,Pumpkins composted per bone meal,Pumpkins
1157,Pumpkin Seeds,Pumpkin seeds composted per bone meal,PumpkinSeeds
1158,Beetroots,Beetroots composted per bone meal,Beetroots
1159,Beetroot Seeds,Beetroot seeds composted per bone meal,BeetrootSeeds
1160,Sugar Canes,Sugar canes composted per bone meal,SugarCanes
1161,Wheat,Wheat composted per bone meal,Wheat
1162,Wheat Seeds,Wheat seeds composted per bone meal,WheatSeeds
1163,Job,"job : type of job (categorical: ""admin."",""unknown"",""unemployed"",""management"",""housemaid"",""entrepreneur"", ""student"",""blue-collar"",""self-employed"",""retired"",""technician"",""services"")",Job
1164,Marital,"marital : marital status (categorical: ""married"",""divorced"",""single""; note: ""divorced"" means divorced or widowed)",Marital
1165,Education,"education (categorical: ""unknown"",""secondary"",""primary"",""tertiary"")",Education3
1166,Default,"default: has credit in default? (binary: ""yes"",""no"")",Default
1167,Balance,"balance: average yearly balance, in euros (numeric)",Balance
1168,Housing,"housing: has housing loan? (binary: ""yes"",""no""",Housing
1169,Loan,"loan: has personal loan? (binary: ""yes"",""no"")",Loan
1170,Contact,"contact: contact communication type (categorical: ""unknown"",""telephone"",""cellular"")",Contact
1171,Day,day: last contact day of the month (numeric),Day
1172,Month,"month: last contact month of year (categorical: ""jan"", ""feb"", ""mar"", ..., ""nov"", ""dec"")",Month
1173,Duration,"duration: last contact duration, in seconds (numeric)",Duration4
1174,Campaign,"campaign: number of contacts performed during this campaign and for this client (numeric, includes last contact)",Campaign
1175,Pdays,"pdays: number of days that passed by after the client was last contacted from a previous campaign (numeric, -1 means client was not previously contacted)",Pdays
1176,Previous,revious: number of contacts performed before this campaign and for this client (numeric),Previous
1177,Poutcome,"poutcome: outcome of the previous marketing campaign (categorical: ""unknown"",""other"",""failure"",""success"")",Poutcome
1178,Subscription,"y - has the client subscribed a term deposit? (binary: ""yes"",""no"")",Subscription
1179,X Axis,x-axis spatial coordinate within the Montesinho park map: 1 to 9,XAxis
1180,Y Axis,y-axis spatial coordinate within the Montesinho park map: 2 to 9,YAxis
1181,Month,"month of the year: ""jan"" to ""dec""",Month1
1182,Day,"day of the week: ""mon"" to ""sun""",Day1
1183,FFMC,FFMC index from the FWI system: 18.7 to 96.20,FFMC
1184,DMC,DMC index from the FWI system: 1.1 to 291.3,DMC
1185,DC,DC index from the FWI system: 7.9 to 860.6,DC
1186,ISI,ISI index from the FWI system: 0.0 to 56.10,ISI
1187,Temp (C),temperature in Celsius degrees: 2.2 to 33.30,Temp(C)
1188,Humidity (%),relative humidity in %: 15.0 to 100,Humidity(%)
1189,Wind Speed (km/h),wind speed in km/h: 0.40 to 9.40,WindSpeed(km/h)
1190,Rain (mm/m2),outside rain in mm/m2 : 0.0 to 6.4,Rain(mm/m2)
1191,Burned Area (ha),the burned area of the forest (in ha): 0.00 to 1090.84,BurnedArea(ha)
